fname,date,group_number,lat_max,lat_mean,lat_min,long_max,long_mean,long_min,area,nspots,ncores,nspots_with_cores,tilt,complexity,B0,L0
201709030425_62,2017-09-03 04:25:00,62,-7.492177589310688,-9.563497738061633,-13.08133527091777,119.46966685464113,118.18149226152607,115.79330789661364,134.03967505911686,8,4,4,-15.897146423976732,223,7.2,126.0
201709040410_66,2017-09-04 04:10:00,66,-9.02482109505,-10.024769155334088,-11.174828008544907,169.92955646421078,166.2411581733681,162.63824269035376,71.78748868317902,5,3,3,8.43288210122945,73,7.2,113.0
201709040410_62,2017-09-04 04:10:00,62,-5.085065134868418,-9.223080782401002,-12.675770179845705,120.49941195702823,117.7211310097502,114.74803481174969,852.4814866742889,12,28,7,-20.57668938683456,284,7.2,113.0
201709050403_62,2017-09-05 04:03:00,62,-4.475844114081228,-9.074179686292034,-12.744317045527644,122.20213372717564,118.14180173187124,114.91666792529772,989.4777401478643,11,20,4,-27.68637537785749,284,7.2,99.8
201709050403_67,2017-09-05 04:03:00,67,17.973840517075754,17.717041742930647,17.430007835655264,49.241744168768854,48.91009824961205,48.59523067123305,7.782349529457602,1,0,0,-36.4847715259396,71,7.2,99.8
201709050403_68,2017-09-05 04:03:00,68,11.431177824576006,10.635465607111088,9.46168329925142,43.50024440818304,42.062472923048375,40.93181749322031,18.173636051893336,2,0,0,64.8944452358625,41,7.2,99.8
201709060410_69,2017-09-06 04:10:00,69,17.576927740645893,17.475688038205174,17.349870950993516,88.81303821660202,88.68873134514784,88.57699092594639,2.166336423235803,1,0,0,-21.879151337575287,19,7.2,86.5
201709060410_67,2017-09-06 04:10:00,67,18.315472074784264,18.135066223077086,17.924935756654637,49.633188151557995,49.36130920235371,49.100438991421186,8.81873645042074,1,0,0,-9.211713507622935,44,7.2,86.5
201709060410_62,2017-09-06 04:10:00,62,-4.522867503954382,-9.499431200886818,-13.667868202022134,123.12435071629886,118.48568418519,114.86882166232195,1108.9876714359377,8,18,5,-25.43703706579193,284,7.2,86.5
201709060410_68,2017-09-06 04:10:00,68,12.161831191687007,10.707052276890025,9.306615513603287,45.76178870467882,43.19341723993934,41.23115499071153,71.85475904479944,4,3,2,42.53293902854392,147,7.2,86.5
201709080418_67,2017-09-08 04:18:00,67,17.97774613097822,17.149042638832466,16.485120500388017,51.92233060459402,50.26866568040743,49.6779156611631,18.04554934942471,3,0,0,13.924894371333652,97,7.2,60.1
201709080418_62,2017-09-08 04:18:00,62,-5.54527398030955,-9.383961473461182,-13.52011036889718,123.91947920043808,118.45302832394657,114.60589708299244,1235.6408445316438,13,14,5,-5.015150173927999,284,7.2,60.1
201709080418_68,2017-09-08 04:18:00,68,12.748342010246056,11.983959299538894,9.608167815783393,45.36051876331378,41.82021610765335,40.52763570202135,31.271340440876003,7,1,1,36.32943202236686,141,7.2,60.1
201709080418_69,2017-09-08 04:18:00,69,16.28197580274852,15.535566557190695,14.381818021250426,90.32016845901256,89.51378709583086,87.45756697473064,35.684264853036545,2,3,1,-37.05834750365722,101,7.2,60.1
201709090417_69,2017-09-09 04:17:00,69,17.477263359284187,16.340984914941608,15.199226938585053,96.08660011213057,94.42386599923998,90.36764207043464,184.0382452732229,4,3,1,-15.759100273564572,117,7.2,46.9
201709090417_68,2017-09-09 04:17:00,68,13.052084824498749,11.991345273574893,10.019782842061927,44.831901175548836,42.252246125497045,40.997207398883255,70.21146757831445,2,5,2,35.284307141657216,114,7.2,46.9
201709100516_68,2017-09-10 05:16:00,68,12.708857950004973,11.999060936973185,9.89454049504769,45.56100261205168,42.26364669699685,41.241226800333,23.06075617727981,4,1,1,29.823591973748908,135,7.2,33.1
201709100516_69,2017-09-10 05:16:00,69,17.659899604841236,16.595634960661073,15.504759222823957,95.49916662035184,94.23553421120579,93.15584532331222,126.46776084313356,1,2,1,9.662881883981429,93,7.2,33.1
201709120424_70,2017-09-12 04:24:00,70,10.181713041399675,9.110581535410557,8.057519162884205,316.5250953123766,315.5107606440637,314.53152811382546,151.1866611063751,1,1,1,-4.820046699540099,73,7.2,7.2
201709130433_70,2017-09-13 04:33:00,70,11.084329762852118,8.952608226466866,7.883917234984435,316.71141042581826,315.69648428699884,314.7254418159745,148.24646174480284,2,2,1,-12.573326222537991,152,7.2,353.9
201709140437_70,2017-09-14 04:37:00,70,9.850034302363909,8.798159938162613,7.753409355949192,316.6990224624933,315.6917909517217,314.6587130675372,153.07451840492362,1,1,1,8.244012003678256,82,7.2,340.7
201709150430_70,2017-09-15 04:30:00,70,9.781492441560188,8.656084923506898,7.547499561700692,316.9299037972064,315.8738928518751,314.88607355001795,167.58034863294637,1,2,1,3.079624891306304,86,7.2,327.5
201709160524_70,2017-09-16 05:24:00,70,9.456150661123766,8.470349118991761,7.45089825094396,316.770166669572,315.85924233089287,313.3879589530884,127.15645432096683,2,2,1,6.1860913355693015,103,7.2,313.8
201709170619_70,2017-09-17 06:19:00,70,9.130224600851944,8.170826614020509,7.204194038923402,317.06962165685815,316.1584486138336,314.7778757108583,124.33089303883443,3,1,1,4.276378431981644,82,7.2,300.1
201709180434_70,2017-09-18 04:34:00,70,9.014685801346422,8.183726399925511,7.306017613558363,317.3790023752559,316.4775230895353,315.6416580105812,115.48201533074273,1,2,1,0.6837388167709266,68,7.2,287.9
201709190436_70,2017-09-19 04:36:00,70,9.014035548697846,8.218351550192361,7.378843571262093,317.68515651475184,316.71013953130347,315.7839279789398,105.34711795828493,1,1,1,14.20373888477951,65,7.1,274.7
201709200446_70,2017-09-20 04:46:00,70,9.126626088050944,8.292637174043074,7.452527099172412,317.8741413322276,316.90660949300906,316.13865874997657,97.5810940596172,1,3,1,6.778971403737924,39,7.1,261.4
201709220649_71,2017-09-22 06:49:00,71,-13.008737437402385,-13.953451549022743,-15.006803924042922,179.4035714717781,178.36260043554626,177.30031152106827,149.30339508012918,1,1,1,37.47329726584015,85,7.1,233.9
201709230537_71,2017-09-23 05:37:00,71,-13.359255147811597,-14.234724156624695,-15.181925844976174,179.849627306512,178.6854884124199,177.53555273472,151.57857777835918,1,1,1,22.191242182153033,94,7.0,221.3
201709240623_71,2017-09-24 06:23:00,71,-13.258233447168307,-14.260775258699491,-15.207641753992453,179.85403140485292,178.63883962869582,177.38861231968502,166.83919342014195,1,1,1,13.542201824057445,94,7.0,207.7
201709250442_71,2017-09-25 04:42:00,71,-11.73579891786818,-14.143502019110436,-15.302982528678465,181.00688577923137,178.71368354032398,177.50326188058563,157.80087079340473,4,2,2,-7.1597549324267815,122,7.0,195.4
201709260436_72,2017-09-26 04:36:00,72,-9.846959192679144,-11.171895570699427,-12.646861304436671,126.86468797075031,125.17031056830463,123.37194230997395,326.04632018348707,1,1,1,30.947773611830613,95,6.9,182.3
201709260436_71,2017-09-26 04:36:00,71,-11.896462438344916,-14.33626102376332,-15.563698252563851,181.55418062675662,178.85275085498859,177.6378036560387,166.73651069218718,5,2,2,-14.949416424579127,145,6.9,182.3
201709270434_73,2017-09-27 04:34:00,73,17.390602486056746,15.64323240288499,13.860491183764546,112.29505526902321,110.23360119276478,107.96964957640527,490.03329848046064,1,2,1,0.16079945124224276,113,6.9,169.1
201709270434_72,2017-09-27 04:34:00,72,-7.654130033419485,-8.824286220617218,-10.120744965439275,126.1718390145455,124.76801027387062,123.02550762299343,265.2527908414416,1,2,1,17.64364177924735,81,6.9,169.1
201709270434_71,2017-09-27 04:34:00,71,-13.156292337043785,-14.853894673013587,-15.893141232306455,179.40462137849843,177.61926702048694,176.5421982943291,143.1588812438815,2,2,2,-18.44280927193018,105,6.9,169.1
201709290427_71,2017-09-29 04:27:00,71,-13.245206016548766,-14.16058785730388,-15.06230958921129,180.3381848488792,179.44024594946376,178.57851557775658,113.96256670824722,1,1,1,-18.188541909567007,77,6.8,142.8
201709290427_72,2017-09-29 04:27:00,72,-7.938445663737973,-11.03625202035227,-13.492377519124894,127.71745308251332,126.14919315965687,120.43984610421602,244.9029665730893,5,9,3,-4.862929177682473,223,6.8,142.8
201709290427_73,2017-09-29 04:27:00,73,14.681968449918413,13.002757856894405,11.309588848273654,112.13197002546812,110.16629656843695,108.16892869271635,401.01747659881516,1,2,1,19.24155784769492,152,6.8,142.8
201709300428_73,2017-09-30 04:28:00,73,14.671328569874545,13.032216324159233,11.444104752957278,112.10326765072331,110.18807843510127,108.22291142315605,403.68383335092835,1,2,1,14.974327180297694,125,6.8,129.6
201709300428_72,2017-09-30 04:28:00,72,-7.747780903074956,-10.928297359136712,-13.768197025895386,127.62704351474552,126.08177126461877,118.18823333779787,186.56692215095586,10,2,1,-1.9413014613194235,284,6.8,129.6
